order_id,order_date,customer_age,restaurant_type,order_value,delivery_distance_km,delivery_time_minutes,payment_method,delivery_partner_rating,order_status,delivery_category,high_value_order,age_group
33,4/24/2024,44,Chinese,266.46,1.75,71,Cash,3.4,Cancelled,Slow,No,36-50
34,11/5/2024,65,Cafe,901.81,6.52,55,Wallet,2.8,Delivered,Medium,Yes,50+
35,3/28/2024,21,Bakery,335.18,3.36,27,Wallet,4.3,Delivered,Fast,No,18-25
36,6/12/2024,58,Cafe,450.15,14.02,29,Cash,3.5,Cancelled,Fast,No,50+
37,10/10/2024,24,Fast Food,412.83,8.04,65,Wallet,3.7,Delivered,Slow,No,18-25
38,3/31/2024,40,Indian,686.97,13.24,16,Cash,4.1,Cancelled,Fast,No,36-50
39,1/9/2024,47,Chinese,194.00,12.99,16,UPI,3.2,Delayed,Fast,No,36-50
40,1/14/2024,26,Cafe,1019.66,11.56,60,UPI,4.9,Delayed,Slow,Yes,26-35
41,12/8/2024,26,Bakery,172.51,6.54,15,Card,4.2,Delivered,Fast,No,26-35
42,2/22/2024,30,Italian,889.50,4.34,69,Wallet,4.3,Delayed,Slow,Yes,26-35
43,7/1/2024,19,Fast Food,346.38,4.79,66,Cash,4.1,Delivered,Slow,No,18-25
44,12/12/2024,40,Cafe,164.18,9.13,73,Card,3.1,Cancelled,Slow,No,36-50
45,10/24/2024,20,Indian,985.03,6.83,71,UPI,4.3,Delivered,Slow,Yes,18-25
46,12/12/2024,29,Cafe,412.23,11.33,41,Card,2.7,Delayed,Medium,No,26-35
47,5/30/2024,52,Indian,286.76,5.08,27,Wallet,3.2,Delivered,Fast,No,50+
48,11/23/2024,38,Indian,481.74,8.16,77,Card,3.5,Delayed,Slow,No,36-50
49,3/2/2024,53,Fast Food,468.92,6.71,60,Cash,2.8,Delayed,Slow,No,50+
50,11/2/2024,54,Chinese,809.62,3.33,64,Card,2.7,Delayed,Slow,Yes,50+
51,11/28/2024,33,Italian,854.03,12.18,33,UPI,2.7,Cancelled,Medium,Yes,26-35
52,9/1/2024,64,Indian,499.12,1.64,79,UPI,4.2,Delayed,Slow,No,50+
53,1/29/2024,55,Chinese,331.23,8.32,26,Cash,3.9,Cancelled,Fast,No,50+
54,2/7/2024,59,Cafe,658.77,4.93,86,UPI,2.6,Delayed,Slow,No,50+
55,11/11/2024,64,Bakery,668.85,9.82,51,Card,3.2,Delayed,Medium,No,50+
56,8/28/2024,25,Indian,401.65,11.59,64,Card,3.9,Delivered,Slow,No,18-25
57,10/3/2024,46,Chinese,779.74,12.57,31,UPI,4.5,Delayed,Medium,No,36-50
58,3/11/2024,47,Indian,439.70,0.56,38,UPI,4.4,Cancelled,Medium,No,36-50
59,12/19/2024,20,Indian,698.47,12.98,89,Cash,4.6,Delayed,Slow,No,18-25
60,12/20/2024,52,Cafe,937.01,7.65,74,UPI,4.4,Delayed,Slow,Yes,50+
61,7/28/2024,39,Bakery,1183.00,4.69,53,Wallet,3.9,Cancelled,Medium,Yes,36-50
62,3/8/2024,54,Fast Food,1004.92,11.83,40,Card,4.8,Cancelled,Medium,Yes,50+
63,5/9/2024,41,Italian,576.89,9.03,52,UPI,3.1,Delayed,Medium,No,36-50
64,12/9/2024,19,Cafe,938.23,7.48,71,Cash,4.9,Delivered,Slow,Yes,18-25
65,10/20/2024,38,Fast Food,420.05,8.92,68,Wallet,4.3,Cancelled,Slow,No,36-50
66,9/11/2024,48,Indian,419.60,1.50,78,Card,3.1,Delayed,Slow,No,36-50
67,8/21/2024,62,Italian,805.56,8.92,27,Wallet,3.9,Cancelled,Fast,Yes,50+
68,8/20/2024,22,Bakery,835.98,5.85,67,Wallet,4.5,Delayed,Slow,Yes,18-25
69,10/14/2024,30,Fast Food,800.35,8.85,85,Card,3.4,Cancelled,Slow,Yes,26-35
70,5/1/2024,55,Bakery,551.82,12.14,23,UPI,4.8,Delivered,Fast,No,50+
71,6/11/2024,49,Bakery,532.03,6.75,64,Wallet,3.7,Cancelled,Slow,No,36-50
72,10/11/2024,37,Bakery,1096.12,1.82,45,UPI,4.8,Delivered,Medium,Yes,36-50
73,5/25/2024,59,Italian,803.30,10.42,59,Wallet,3.0,Cancelled,Medium,Yes,50+
74,8/21/2024,39,Italian,313.66,14.04,35,Card,3.6,Cancelled,Medium,No,36-50
75,6/24/2024,37,Chinese,193.56,6.78,49,UPI,4.9,Cancelled,Medium,No,36-50
76,8/12/2024,37,Bakery,874.31,8.66,58,Wallet,5.0,Delayed,Medium,Yes,36-50
77,12/13/2024,21,Bakery,1123.71,5.53,90,UPI,2.7,Delivered,Slow,Yes,18-25
78,11/28/2024,43,Bakery,497.26,10.06,36,Wallet,3.3,Delivered,Medium,No,36-50
79,12/8/2024,36,Italian,1083.21,1.78,41,Wallet,3.8,Cancelled,Medium,Yes,36-50
80,7/16/2024,29,Chinese,961.10,13.20,16,Card,4.5,Cancelled,Fast,Yes,26-35
81,8/26/2024,44,Chinese,765.08,9.84,69,Card,2.7,Delivered,Slow,No,36-50
82,11/6/2024,47,Chinese,704.03,1.83,33,Wallet,4.4,Delayed,Medium,No,36-50
83,8/31/2024,40,Italian,921.49,1.01,75,UPI,3.4,Delivered,Slow,Yes,36-50
84,10/10/2024,42,Bakery,338.79,5.03,47,UPI,2.7,Delayed,Medium,No,36-50
85,9/12/2024,53,Italian,925.00,0.91,44,UPI,4.0,Delayed,Medium,Yes,50+
86,7/5/2024,27,Chinese,219.65,4.48,80,Cash,4.1,Cancelled,Slow,No,26-35
87,6/3/2024,42,Bakery,171.43,4.66,44,Wallet,4.2,Delayed,Medium,No,36-50
88,9/3/2024,42,Italian,744.13,13.97,16,Wallet,2.8,Delayed,Fast,No,36-50
89,10/15/2024,60,Chinese,1017.52,11.89,77,Card,4.9,Delayed,Slow,Yes,50+
90,10/11/2024,26,Cafe,857.45,8.73,77,Cash,3.0,Cancelled,Slow,Yes,26-35
91,3/18/2024,53,Bakery,1177.39,6.95,76,Cash,3.9,Cancelled,Slow,Yes,50+
92,7/21/2024,64,Fast Food,222.94,4.01,68,Card,3.5,Delayed,Slow,No,50+
93,8/24/2024,60,Italian,358.24,9.45,86,Cash,2.6,Delayed,Slow,No,50+
94,8/6/2024,45,Italian,902.20,5.07,36,UPI,3.7,Cancelled,Medium,Yes,36-50
95,10/15/2024,36,Fast Food,646.58,11.66,15,Cash,2.8,Delivered,Fast,No,36-50
96,3/31/2024,26,Chinese,692.18,4.66,60,UPI,2.7,Delivered,Slow,No,26-35
97,5/13/2024,21,Bakery,398.18,0.82,85,UPI,3.6,Delayed,Slow,No,18-25
98,1/10/2024,48,Italian,261.92,6.57,46,UPI,3.1,Cancelled,Medium,No,36-50
99,5/21/2024,44,Cafe,669.00,7.37,61,Wallet,3.9,Cancelled,Slow,No,36-50
100,8/25/2024,59,Fast Food,1100.38,3.64,47,Cash,3.6,Delayed,Medium,Yes,50+
101,6/16/2024,29,Chinese,775.42,13.58,24,Cash,5.0,Cancelled,Fast,No,26-35
102,11/17/2024,38,Indian,634.31,3.84,46,Wallet,3.1,Delivered,Medium,No,36-50
103,9/7/2024,62,Chinese,425.38,6.99,79,Wallet,3.8,Delivered,Slow,No,50+
104,9/25/2024,41,Bakery,943.41,11.99,39,Wallet,3.3,Delivered,Medium,Yes,36-50
105,5/15/2024,48,Indian,161.37,3.38,62,Wallet,3.4,Delivered,Slow,No,36-50
106,5/23/2024,42,Italian,180.49,7.56,52,Wallet,4.3,Delayed,Medium,No,36-50
107,9/25/2024,51,Cafe,295.69,14.51,40,Cash,3.6,Delayed,Medium,No,50+
108,10/1/2024,59,Indian,971.91,1.81,26,UPI,5.0,Delivered,Fast,Yes,50+
109,12/1/2024,48,Indian,1146.80,13.51,47,Wallet,2.8,Delayed,Medium,Yes,36-50
110,4/1/2024,42,Indian,1060.80,10.84,16,Card,4.0,Delivered,Fast,Yes,36-50
111,4/18/2024,45,Fast Food,246.11,7.61,62,UPI,2.9,Delayed,Slow,No,36-50
112,6/24/2024,26,Bakery,998.09,2.47,48,Cash,3.3,Delayed,Medium,Yes,26-35
113,9/7/2024,24,Cafe,590.80,13.57,40,Card,3.9,Cancelled,Medium,No,18-25
114,1/25/2024,28,Cafe,278.46,6.56,38,Cash,4.0,Delayed,Medium,No,26-35
115,1/8/2024,64,Fast Food,604.93,4.75,15,Cash,2.7,Cancelled,Fast,No,50+
116,10/29/2024,64,Fast Food,1014.01,4.31,73,UPI,3.2,Delivered,Slow,Yes,50+
117,1/5/2024,38,Indian,335.59,11.32,75,Card,3.7,Delayed,Slow,No,36-50
118,10/8/2024,26,Fast Food,1085.17,14.40,55,Card,3.7,Delivered,Medium,Yes,26-35
119,5/20/2024,33,Fast Food,1089.83,9.66,44,Card,2.8,Cancelled,Medium,Yes,26-35
120,4/22/2024,19,Indian,1194.94,3.69,68,Cash,4.8,Delivered,Slow,Yes,18-25
121,3/13/2024,51,Italian,468.73,4.94,51,Cash,3.9,Cancelled,Medium,No,50+
122,4/24/2024,36,Cafe,462.71,6.79,51,Card,3.2,Delivered,Medium,No,36-50
123,6/16/2024,51,Chinese,886.72,8.53,47,Cash,3.1,Cancelled,Medium,Yes,50+
124,4/7/2024,19,Cafe,358.51,9.44,33,Cash,4.9,Delayed,Medium,No,18-25
125,9/14/2024,38,Indian,934.86,11.37,28,Cash,2.7,Delivered,Fast,Yes,36-50
126,10/5/2024,58,Indian,835.90,9.63,50,UPI,4.9,Delayed,Medium,Yes,50+
127,10/5/2024,59,Cafe,498.15,6.26,68,Card,3.3,Cancelled,Slow,No,50+
128,9/23/2024,31,Italian,637.59,13.18,40,Wallet,2.7,Cancelled,Medium,No,26-35
129,11/13/2024,38,Bakery,676.33,8.69,86,Cash,4.3,Cancelled,Slow,No,36-50
130,12/27/2024,34,Italian,1034.07,9.71,86,Card,3.5,Delivered,Slow,Yes,26-35
131,10/24/2024,23,Italian,702.12,5.94,48,UPI,3.7,Delivered,Medium,No,18-25
132,12/8/2024,31,Italian,440.50,5.26,88,Wallet,4.7,Cancelled,Slow,No,26-35
133,1/11/2024,31,Chinese,335.52,13.67,83,Card,2.8,Cancelled,Slow,No,26-35
134,9/27/2024,54,Bakery,614.99,5.91,19,Cash,4.0,Delivered,Fast,No,50+
135,11/10/2024,41,Fast Food,927.98,5.89,65,UPI,2.6,Delivered,Slow,Yes,36-50
136,3/20/2024,53,Chinese,260.86,1.05,34,Wallet,3.5,Cancelled,Medium,No,50+
137,1/3/2024,24,Fast Food,320.50,14.21,27,UPI,2.8,Delivered,Fast,No,18-25
138,2/25/2024,53,Fast Food,680.80,8.46,25,Wallet,2.9,Delivered,Fast,No,50+
139,12/8/2024,24,Indian,1072.74,8.20,65,Card,4.5,Cancelled,Slow,Yes,18-25
140,7/23/2024,45,Italian,276.14,11.18,24,Wallet,2.9,Cancelled,Fast,No,36-50
141,4/2/2024,38,Cafe,378.66,11.64,84,Cash,4.9,Delivered,Slow,No,36-50
142,10/12/2024,55,Bakery,243.87,3.12,55,Wallet,4.7,Cancelled,Medium,No,50+
143,10/4/2024,61,Chinese,704.74,12.44,78,Wallet,3.2,Cancelled,Slow,No,50+
144,6/18/2024,21,Cafe,864.64,2.26,88,Cash,3.6,Cancelled,Slow,Yes,18-25
145,3/26/2024,32,Chinese,1091.87,5.89,84,Card,3.9,Delayed,Slow,Yes,26-35
146,8/17/2024,22,Chinese,790.11,13.35,73,Wallet,2.5,Cancelled,Slow,No,18-25
147,5/2/2024,63,Italian,543.63,13.88,23,Card,4.3,Delivered,Fast,No,50+
148,9/26/2024,63,Chinese,736.60,3.72,24,UPI,4.9,Cancelled,Fast,No,50+
149,12/9/2024,57,Bakery,1153.33,14.24,74,UPI,4.6,Cancelled,Slow,Yes,50+
150,11/12/2024,54,Bakery,716.44,11.70,22,Card,4.4,Cancelled,Fast,No,50+
151,11/5/2024,65,Italian,326.20,5.90,33,Wallet,3.6,Delivered,Medium,No,50+
152,2/9/2024,29,Italian,733.43,10.92,46,Card,4.0,Delayed,Medium,No,26-35
153,7/20/2024,41,Bakery,485.48,10.28,17,UPI,3.4,Delayed,Fast,No,36-50
154,11/13/2024,54,Indian,643.99,11.25,38,Wallet,2.5,Delivered,Medium,No,50+
155,8/14/2024,18,Fast Food,853.07,10.08,26,UPI,4.0,Delayed,Fast,Yes,18-25
156,1/12/2024,51,Chinese,454.17,13.95,32,Card,2.5,Delayed,Medium,No,50+
157,3/4/2024,61,Cafe,1168.19,8.40,57,Wallet,4.9,Cancelled,Medium,Yes,50+
158,8/10/2024,57,Bakery,554.75,4.35,87,UPI,2.6,Delayed,Slow,No,50+
159,2/11/2024,25,Bakery,884.45,12.76,51,Cash,2.7,Delayed,Medium,Yes,18-25
160,8/7/2024,59,Cafe,158.59,14.83,67,UPI,4.9,Delivered,Slow,No,50+
161,7/22/2024,53,Cafe,500.34,11.75,40,UPI,3.5,Delayed,Medium,No,50+
162,4/30/2024,20,Bakery,1019.03,2.09,85,Card,4.0,Delayed,Slow,Yes,18-25
163,8/12/2024,20,Cafe,926.55,4.36,53,Cash,4.4,Delivered,Medium,Yes,18-25
164,7/27/2024,55,Indian,242.25,0.52,80,Wallet,4.9,Delayed,Slow,No,50+
165,4/23/2024,40,Cafe,402.58,13.06,76,Cash,4.9,Cancelled,Slow,No,36-50
166,10/2/2024,48,Indian,295.25,11.16,29,Card,3.4,Cancelled,Fast,No,36-50
167,5/9/2024,57,Chinese,403.94,14.68,61,UPI,3.4,Delayed,Slow,No,50+
168,8/23/2024,46,Chinese,530.68,3.52,70,Cash,4.3,Delivered,Slow,No,36-50
169,11/18/2024,21,Bakery,897.59,4.91,26,Card,4.2,Cancelled,Fast,Yes,18-25
170,1/27/2024,51,Italian,224.25,11.88,66,Wallet,4.8,Cancelled,Slow,No,50+
171,10/8/2024,26,Italian,470.73,3.34,28,Wallet,4.9,Cancelled,Fast,No,26-35
172,5/7/2024,26,Fast Food,725.52,6.14,58,Card,4.8,Cancelled,Medium,No,26-35
173,8/8/2024,46,Cafe,367.14,11.37,32,UPI,2.7,Delivered,Medium,No,36-50
174,9/4/2024,48,Cafe,1130.32,14.17,22,UPI,3.7,Delivered,Fast,Yes,36-50
175,12/28/2024,39,Chinese,684.01,7.92,88,UPI,3.1,Delivered,Slow,No,36-50
176,6/3/2024,45,Chinese,439.21,5.67,19,Wallet,4.3,Cancelled,Fast,No,36-50
177,4/17/2024,35,Bakery,869.39,11.50,45,UPI,4.9,Cancelled,Medium,Yes,26-35
178,3/25/2024,59,Indian,470.19,5.66,23,Card,2.6,Delivered,Fast,No,50+
179,2/1/2024,29,Cafe,343.54,7.08,66,UPI,4.9,Delivered,Slow,No,26-35
180,5/4/2024,55,Chinese,332.10,8.79,54,Card,3.2,Delivered,Medium,No,50+
181,6/4/2024,28,Fast Food,709.86,14.98,69,UPI,3.9,Cancelled,Slow,No,26-35
182,6/16/2024,42,Bakery,648.63,1.47,78,Card,3.4,Cancelled,Slow,No,36-50
183,12/19/2024,42,Italian,270.80,7.39,30,UPI,4.7,Delayed,Medium,No,36-50
184,9/2/2024,64,Bakery,722.53,2.26,50,Cash,3.0,Delayed,Medium,No,50+
185,2/6/2024,22,Italian,577.24,14.77,54,UPI,3.5,Delayed,Medium,No,18-25
186,8/15/2024,18,Cafe,846.50,7.16,48,UPI,3.6,Delayed,Medium,Yes,18-25
187,9/13/2024,26,Italian,967.12,11.93,80,Card,3.7,Delivered,Slow,Yes,26-35
188,5/20/2024,37,Fast Food,237.04,5.24,77,Card,3.1,Delivered,Slow,No,36-50
189,12/7/2024,41,Cafe,322.97,5.35,53,Cash,3.6,Delivered,Medium,No,36-50
190,4/6/2024,32,Indian,575.76,9.42,29,Cash,2.9,Cancelled,Fast,No,26-35
191,1/3/2024,54,Cafe,1133.36,14.57,90,UPI,2.8,Delayed,Slow,Yes,50+
192,10/20/2024,22,Fast Food,874.00,13.48,47,Card,4.0,Cancelled,Medium,Yes,18-25
193,10/14/2024,40,Cafe,329.51,9.37,82,Wallet,3.6,Delivered,Slow,No,36-50
194,11/6/2024,61,Bakery,1060.61,13.48,56,Cash,2.9,Delayed,Medium,Yes,50+
195,9/3/2024,26,Chinese,551.77,12.28,61,Wallet,4.9,Delivered,Slow,No,26-35
196,11/27/2024,36,Chinese,1132.54,4.17,78,Card,3.5,Delivered,Slow,Yes,36-50
197,9/8/2024,37,Indian,876.47,4.54,72,Wallet,3.6,Cancelled,Slow,Yes,36-50
198,8/29/2024,62,Cafe,933.54,4.61,80,Cash,4.3,Cancelled,Slow,Yes,50+
199,1/29/2024,49,Italian,1036.36,6.97,84,Card,5.0,Delivered,Slow,Yes,36-50
200,7/20/2024,53,Italian,770.91,1.41,57,Card,3.2,Cancelled,Medium,No,50+
201,1/13/2024,20,Bakery,854.61,12.54,68,Card,4.7,Delayed,Slow,Yes,18-25
202,7/22/2024,19,Indian,957.51,13.97,89,UPI,4.3,Delivered,Slow,Yes,18-25
203,7/19/2024,48,Bakery,901.54,13.38,22,Card,3.5,Delayed,Fast,Yes,36-50
204,7/31/2024,59,Bakery,805.70,11.91,29,Wallet,4.6,Cancelled,Fast,Yes,50+
205,4/11/2024,51,Indian,964.02,8.16,50,Wallet,4.3,Delivered,Medium,Yes,50+
206,4/7/2024,29,Chinese,1084.68,11.77,23,Cash,3.5,Delivered,Fast,Yes,26-35
207,3/2/2024,29,Italian,1040.01,1.92,22,UPI,2.9,Delivered,Fast,Yes,26-35
208,8/27/2024,44,Bakery,794.45,12.63,20,Wallet,3.7,Delivered,Fast,No,36-50
209,1/24/2024,48,Bakery,1013.56,11.74,38,UPI,3.7,Delayed,Medium,Yes,36-50
210,11/13/2024,38,Italian,256.03,13.58,72,UPI,4.9,Delivered,Slow,No,36-50
211,2/19/2024,24,Cafe,729.32,11.30,80,Card,4.0,Cancelled,Slow,No,18-25
212,6/14/2024,65,Italian,815.14,9.56,42,Wallet,4.9,Cancelled,Medium,Yes,50+
213,6/19/2024,63,Indian,1078.42,9.38,76,UPI,4.2,Cancelled,Slow,Yes,50+
214,7/11/2024,37,Fast Food,325.18,9.13,87,UPI,3.8,Cancelled,Slow,No,36-50
215,9/13/2024,24,Fast Food,594.01,11.87,27,Cash,2.7,Delivered,Fast,No,18-25
216,1/22/2024,45,Indian,910.70,1.86,71,Card,3.8,Delivered,Slow,Yes,36-50
217,11/3/2024,54,Chinese,248.80,9.93,53,Card,4.4,Delayed,Medium,No,50+
218,7/19/2024,39,Fast Food,622.81,4.86,32,Wallet,4.0,Cancelled,Medium,No,36-50
219,7/22/2024,18,Fast Food,690.74,13.53,39,Card,4.6,Delivered,Medium,No,18-25
220,6/20/2024,52,Bakery,387.17,14.27,51,UPI,3.4,Delayed,Medium,No,50+
221,2/20/2024,30,Italian,625.94,4.66,43,UPI,3.1,Cancelled,Medium,No,26-35
222,1/8/2024,31,Bakery,810.44,1.13,83,Cash,4.3,Delivered,Slow,Yes,26-35
223,5/5/2024,22,Bakery,985.71,2.02,25,Card,4.8,Cancelled,Fast,Yes,18-25
224,8/22/2024,51,Italian,582.18,7.08,40,Wallet,4.9,Delayed,Medium,No,50+
225,11/26/2024,25,Cafe,328.81,13.91,29,Card,4.7,Delivered,Fast,No,18-25
226,10/4/2024,57,Cafe,311.45,4.56,67,Cash,3.2,Delivered,Slow,No,50+
227,4/16/2024,40,Fast Food,1109.26,3.27,59,Wallet,2.8,Delivered,Medium,Yes,36-50
228,11/6/2024,62,Bakery,271.72,4.52,45,Cash,3.2,Cancelled,Medium,No,50+
229,1/24/2024,51,Indian,476.41,10.31,88,Wallet,4.2,Delayed,Slow,No,50+
230,2/23/2024,55,Cafe,547.41,14.07,86,UPI,4.2,Delayed,Slow,No,50+
231,3/26/2024,35,Cafe,531.15,13.93,58,Wallet,3.4,Delayed,Medium,No,26-35
232,12/6/2024,40,Bakery,870.41,1.85,64,Cash,4.5,Delivered,Slow,Yes,36-50
233,5/9/2024,18,Fast Food,428.40,14.92,33,Wallet,3.7,Delivered,Medium,No,18-25
234,9/20/2024,48,Fast Food,1073.26,14.35,65,Card,2.6,Cancelled,Slow,Yes,36-50
235,4/13/2024,49,Indian,212.28,14.72,32,UPI,4.0,Delayed,Medium,No,36-50
236,8/9/2024,53,Fast Food,704.50,13.27,30,Cash,3.5,Delayed,Medium,No,50+
237,11/17/2024,23,Chinese,964.51,5.18,53,Wallet,4.3,Delivered,Medium,Yes,18-25
238,12/22/2024,30,Indian,383.29,12.02,62,Card,3.4,Cancelled,Slow,No,26-35
239,5/12/2024,65,Fast Food,404.63,10.35,17,Wallet,2.6,Delivered,Fast,No,50+
240,4/23/2024,53,Indian,1052.00,13.81,23,UPI,4.9,Delivered,Fast,Yes,50+
241,11/27/2024,52,Bakery,230.68,11.56,41,Cash,4.8,Delayed,Medium,No,50+
242,11/27/2024,34,Fast Food,294.66,4.68,27,Wallet,3.1,Delivered,Fast,No,26-35
243,4/18/2024,63,Indian,677.97,7.39,42,Card,4.3,Cancelled,Medium,No,50+
244,5/22/2024,58,Bakery,340.46,13.75,24,Card,3.2,Delivered,Fast,No,50+
245,4/4/2024,65,Italian,321.79,7.14,51,Wallet,3.1,Cancelled,Medium,No,50+
246,3/26/2024,49,Italian,1140.15,13.33,50,Cash,3.6,Cancelled,Medium,Yes,36-50
247,3/11/2024,24,Indian,331.16,8.77,49,Cash,4.3,Delayed,Medium,No,18-25
248,3/20/2024,33,Cafe,1076.03,8.53,85,UPI,3.5,Cancelled,Slow,Yes,26-35
249,11/17/2024,58,Chinese,744.81,7.94,20,Wallet,2.6,Delivered,Fast,No,50+
250,6/23/2024,56,Bakery,203.47,13.16,28,UPI,4.4,Delivered,Fast,No,50+
251,3/14/2024,61,Fast Food,842.87,9.28,38,Cash,3.0,Cancelled,Medium,Yes,50+
252,11/10/2024,37,Italian,412.97,11.03,82,Wallet,4.3,Cancelled,Slow,No,36-50
253,9/29/2024,34,Indian,468.42,10.53,32,Cash,3.4,Delivered,Medium,No,26-35
254,6/21/2024,25,Cafe,251.28,9.57,39,Wallet,4.7,Cancelled,Medium,No,18-25
255,11/30/2024,24,Bakery,675.53,13.53,62,Wallet,4.1,Delivered,Slow,No,18-25
256,5/29/2024,51,Italian,519.58,1.72,15,Card,4.8,Delayed,Fast,No,50+
257,5/20/2024,43,Cafe,752.07,8.45,64,Card,4.3,Delivered,Slow,No,36-50
258,2/7/2024,25,Fast Food,1186.41,3.24,31,Cash,3.4,Delayed,Medium,Yes,18-25
259,12/25/2024,22,Italian,1089.09,6.02,62,Cash,3.3,Delayed,Slow,Yes,18-25
260,3/29/2024,57,Indian,439.57,1.61,48,Card,2.8,Delivered,Medium,No,50+
261,3/21/2024,19,Italian,586.76,1.84,67,UPI,4.9,Delivered,Slow,No,18-25
262,5/20/2024,63,Cafe,925.38,3.47,71,UPI,4.1,Delivered,Slow,Yes,50+
263,7/25/2024,64,Cafe,550.52,3.05,67,UPI,3.0,Delayed,Slow,No,50+
264,4/4/2024,57,Italian,667.34,2.29,27,Wallet,4.7,Delivered,Fast,No,50+
265,4/16/2024,26,Chinese,344.43,0.58,24,Wallet,4.2,Cancelled,Fast,No,26-35
266,5/31/2024,21,Indian,455.08,11.92,25,Wallet,3.9,Delivered,Fast,No,18-25
267,11/10/2024,46,Bakery,1166.15,12.48,45,Wallet,4.5,Cancelled,Medium,Yes,36-50
268,10/10/2024,39,Chinese,836.33,8.78,19,UPI,4.6,Cancelled,Fast,Yes,36-50
269,11/14/2024,25,Fast Food,433.41,2.15,15,Cash,3.9,Cancelled,Fast,No,18-25
270,6/16/2024,49,Indian,1043.80,10.08,87,Wallet,4.4,Delayed,Slow,Yes,36-50
271,10/3/2024,19,Italian,677.65,1.22,70,Cash,3.0,Cancelled,Slow,No,18-25
272,1/6/2024,58,Italian,1071.73,6.71,74,Wallet,4.5,Cancelled,Slow,Yes,50+
273,6/22/2024,32,Chinese,790.90,5.42,36,Wallet,4.2,Cancelled,Medium,No,26-35
274,12/14/2024,57,Indian,154.76,3.57,75,Wallet,3.1,Delivered,Slow,No,50+
275,6/2/2024,28,Cafe,362.24,5.41,76,Wallet,3.8,Cancelled,Slow,No,26-35
276,1/17/2024,51,Bakery,161.80,4.49,64,Card,3.0,Cancelled,Slow,No,50+
277,5/26/2024,41,Fast Food,1180.08,11.54,73,Wallet,3.3,Cancelled,Slow,Yes,36-50
278,7/18/2024,61,Indian,759.10,12.21,60,Cash,3.9,Delivered,Slow,No,50+
